RO # ,DATE MADE ,SHOP NAME ,PART # ,SERIAL # ,PART DESCRIPTION ,REQ WORK ,DATE DROPPED OFF ,ESTIMATED COST ,FINAL COST ,TERMS ,SHOP REF # ,ESTIMATED DELIVERY DATE ,CURENT STATUS ,CURENT STATUS DATE ,GENTHRUST STATUS ,SHOP STATUS ,TRACKING NUMBER / PICKING UP ,NOTES ,LAST DATE UPDATED ,NEXT DATE TO UPDATE ,Checked
38517,10/13/2025,FLORIDA AERO SYSTEMS,2-1457-2,7390,BRAKE ASSY ,IP,10/13/2025,$500.00,,NET 30,,,PAID >>>>,10/13/2025,,,,,10/22/2025,11/5/2025,yes
38518,10/13/2025,FLORIDA AERO SYSTEMS,2-1457-2,5605D,BRAKE ASSY ,IP,10/13/2025,$500.00,,NET 30,,,PAID >>>>,10/22/2025,,,,,10/22/2025,11/5/2025,yes
38519,10/14/2025,WORLD INNOVATIONS SUPPORT,700842A,10226,CSD,RP,,,,C.O.D,,,WAITING QUOTE ,10/16/2025,,,,,10/16/2025,10/30/2025,
38520,10/14/2025,WORLD INNOVATIONS SUPPORT,700842A,8759,CSD,RP,,,,C.O.D,,,WAITING QUOTE ,10/16/2025,,,,,10/16/2025,10/30/2025,
38521,10/16/2025,WORLD INNOVATIONS SUPPORT,350880-6,MX259414,HYDRALIC PUMP ,OH,,,,NET 30,,,WAITING QUOTE ,10/16/2025,,,,,10/16/2025,10/30/2025,
38522,10/16/2025,WORLD INNOVATIONS SUPPORT,57186-10,97310,HYD PUMP,OH,10/16/2025,"$3,500.00","$3,500.00",NET 30,,,PAID >>>>,10/22/2025,,,,,10/22/2025,11/5/2025,yes
38524,10/16/2025,ILLUMINAIR SUPPORT,734284E,2827,GCU,OH,,,,NET 30,,,WAITING QUOTE ,10/16/2025,,,,,10/16/2025,10/30/2025,
38525,10/16/2025,WORLD INNOVATIONS SUPPORT,700842A,14394,CSD,OH,,,,NET 30,,,WAITING QUOTE ,10/16/2025,,,,,10/16/2025,10/30/2025,
38526,10/16/2025,ALTIMA TECHNOLOGIES,30-2849-1,2440,STROBE LIGHT,OH,,,,NET 30,,,BER ,11/5/2025,,RECEIVED,,Going to be sent back,11/5/2025,11/19/2025,
38530,10/16/2025,ALTIMA TECHNOLOGIES,7101-28-676/393-1.7,23946,FIRE DETECTOR,OH,,,,C.O.D,,,WAITING QUOTE ,10/30/2025,,RECEIVED,,,10/30/2025,11/13/2025,
38531,10/17/2025,WORLD INNOVATIONS SUPPORT,2790583-108,1457A,ANTI ICE VALVE,OH,,,,NET 30,,,WAITING QUOTE ,10/17/2025,,,,,10/17/2025,10/31/2025,
38532,10/17/2025,NOBEL AEROSPACE,B-430-1,CM-94396,CIRCUIT BREAKER,OH,10/23/2025,,,NET 30,,,WAITING QUOTE ,10/23/2025,,,,,10/23/2025,11/6/2025,
38533,10/17/2025,AOG REACTION,300-46-29,23496,SWITCH,RP,,,,NET 30,,,WAITING QUOTE ,10/17/2025,,,8852 6993 7240,,10/17/2025,10/31/2025,
38534,10/17/2025,MID-JET REPAIR,8930-223B90H014,23372,SMOKE DETECTOR,OH,,,$250.00,NET 30,,,BER,11/5/2025,,,8852 6993 7240,,11/5/2025,11/19/2025,
38535,10/17/2025,DELTA TECH OPS,S233T100-526,1624,LIGHT PLATE,RP,,,,PREPAID,,,APPROVED >>>>,10/17/2025,,,8852 7013 4563,,10/17/2025,10/31/2025,
38536,10/17/2025,SOUTHWINGS AVIONICS,211C223-322,N01239C,SWITCH PRESSURE,RP,,,,NET 30,,,WAITING QUOTE ,10/17/2025,,,,,10/17/2025,10/31/2025,
38537,10/21/2025,SAFETECH,801308-31,C12070119,REGULATOR ASSY,OH,10/21/2025,,,PREPAID,,,WAITING QUOTE ,10/30/2025,,,,DROPPED OFF,10/30/2025,11/13/2025,
38539,10/20/2025,SAFETECH,801307-00,N/A,BOTTLE O2 CREW,OH,10/20/2025,,,NET 30,,,WAITING QUOTE ,10/30/2025,,,,DROPPED OFF,10/30/2025,11/13/2025,
38540,10/21/2025,ILLUMINAIR SUPPORT,H911A,FT0344,LINEAR TRASDUCER,RP,10/21/2025,,,C.O.D,,,WAITING QUOTE ,10/21/2025,,,,,10/21/2025,11/4/2025,
38541,10/24/2025,WORLD INNOVATIONS SUPPORT,503/1/06680/003,TE1838A,GENERATOR,OH,,,,NET 30,,,WAITING QUOTE ,10/24/2025,,,,,10/24/2025,11/7/2025,
38543,10/24/2025,WORLD INNOVATIONS SUPPORT,519858-6,72-3266,STARTER APU ,OH,,,,NET 30,,,WAITING QUOTE ,10/24/2025,,,,,10/24/2025,11/7/2025,
38544,10/24/2025,WORLD INNOVATIONS SUPPORT,727810C,1984,GENERATOR-90KVA,OH,,,,NET 30,,,WAITING QUOTE ,10/24/2025,,,,,10/24/2025,11/7/2025,
38545,10/24/2025,NOBEL AEROSPACE,B-430-1,CJ-89809,CIRCUIT BREAKER,OH,,$650.00,,NET 30,,,APPROVED >>>>,11/5/2025,DROPPED OFF,,8855 6443 9853,,11/5/2025,11/19/2025,
38546,10/24/2025,SETNIX,3614400-8,555379,APU MODULE SENSE,RP,,,,NET 30,,,WAITING QUOTE ,10/24/2025,,,8855 6348 7252,,10/24/2025,11/7/2025,
38548,10/24/2025,DELTA TECH OPS,4058650-950,91041208,MCDU,RP,,,,NET 30,,,WAITING QUOTE ,10/24/2025,,,8855 5387 3440,,10/24/2025,11/7/2025,
38549,10/24/2025,SOUTHWINGS AVIONICS,211C223-519,W01557A,HYD PRESSURE SWITCH,OH,,,,NET 30,,,WAITING QUOTE ,10/24/2025,,,,,10/24/2025,11/7/2025,
38550,10/24/2025,SOUTHWINGS AVIONICS,3876035-5,1.01121E+11,SENSOR PRESSURE,TEST,,,,NET 30,,,WAITING QUOTE ,10/24/2025,,,,,10/24/2025,11/7/2025,
38551,10/24/2025,SOUTHWINGS AVIONICS,275N2059-3,NSN,NOSE W. PISTON SPRING,OH,,,,NET 30,,,WAITING QUOTE ,10/24/2025,,,,,10/24/2025,11/7/2025,
38552,10/24/2025,UNICORP SYSTEMS,S67-1575-133,436-25969,GPS ANTENNA,OH,,,,NET 30,,,WAITING QUOTE ,10/24/2025,,,8855 5208 0499,,10/24/2025,11/7/2025,
38553,10/24/2025,CONFIDENCE AVIATION,792-6140-001,6047,HF COUPLER,OH,,,,NET 30,,,WAITING QUOTE ,10/24/2025,,,8855 5303 1980,,10/24/2025,11/7/2025,
38554,10/27/2025,INFLIGHT AEROSPACE SOLUTIONS,322895-18,2017,VALVE,OH,,"$8,995.00",,NET 30,,,WAITING QUOTE ,10/27/2025,,,8855 8600 9876,,10/27/2025,11/10/2025,
38555,10/27/2025,NOBEL AEROSPACE,4-254-04,114,BATTERY CHARGER,OH,,,,NET 30,,,WAITING QUOTE ,10/27/2025,,,8855 6443 9853,,10/27/2025,11/10/2025,
38556,10/28/2025,ILLUMINAIR SUPPORT,H911A,2495,LINEAR TRASDUCER,OH,,,,NET 30,,,WAITING QUOTE ,10/28/2025,,,,,10/28/2025,11/11/2025,
38557,10/28/2025,MT AERO,1544300-3,NA,ELEVATOR,OH,,,,NET 30,,,WAITING QUOTE ,10/28/2025,,,,,10/28/2025,11/11/2025,
38558,10/28/2025,SOUTHWINGS AVIONICS,979806-12,3405,SURGE VALVE,OH,,,,NET 30,,,WAITING QUOTE ,10/28/2025,,,8855 6425 5339,,10/28/2025,11/11/2025,
38559,10/28/2025,ACSS,9000000-20309,22000682,T2CAS (WITH GPS),IP,,,,NET 30,,,WAITING QUOTE ,10/29/2025,,,8855 6405 7830,,10/29/2025,11/12/2025,
38561,10/28/2025,A.I.R.S,S283N001-1,K1750,PC CTRL CARD,OH,,,,NET 30,,,WAITING QUOTE ,10/28/2025,,,,,10/28/2025,11/11/2025,
38562,10/28/2025,AERO INSTRUMENTS & AVIONICS INC,285T0032-19,D01554,PC CARD,OH,,,,NET 30,,,WAITING QUOTE ,10/28/2025,,,,,10/28/2025,11/11/2025,
38563,10/28/2025,AERO INSTRUMENTS & AVIONICS INC,285T0259-19,D00972,PCA,OH,,,,NET 30,,,WAITING QUOTE ,10/28/2025,,,,,10/28/2025,11/11/2025,
38564,10/28/2025,AOG REACTION,S344N001-3,077-97,FUEL LEVEL SENSOR,OH,,,,NET 30,,,WAITING QUOTE ,10/28/2025,,,,,10/28/2025,11/11/2025,
38565,10/28/2025,ALTIMA TECHNOLOGIES,285T0031-17,D00293,WARNING MODULE CARD,OH,,,,NET 30,,,WAITING QUOTE ,10/28/2025,,,,,10/28/2025,11/11/2025,
38566,10/28/2025,SOUTHWINGS AVIONICS,MA30A1001,AA427548D,ACTUATOR ELECTRICAL,OH,,,,NET 30,,,WAITING QUOTE ,10/28/2025,,,8855 6425 5339,,10/28/2025,11/11/2025,
38567,10/28/2025,INFLIGHT AEROSPACE SOLUTIONS,322895-16U,.0711.,BLEED CONVERTER VLV,OH,,,,NET 30,,,WAITING QUOTE ,10/28/2025,,,8855 8600 9876,,10/28/2025,11/11/2025,
38568,10/30/2025,SOUTHWINGS AVIONICS,322895-18,.0391.,BLEED CONVERTER VLV,OH,,,,NET 30,,,WAITING QUOTE ,10/30/2025,,,1Z CC1 438 03 3627 0254,,10/30/2025,11/13/2025,
38569,10/30/2025,SOUTHWINGS AVIONICS,322895-16,.0543.,VALVE CONVERTER,OH,,,,NET 30,,,WAITING QUOTE ,10/30/2025,,,1Z CC1 438 03 3627 0254,,10/30/2025,11/13/2025,
38570,10/31/2025,EASTERN AERO MARINE,R0425A303,TAD6A004C,T6A RAFT,OH,,,,NET 30,,,WAITING QUOTE ,10/31/2025,,,,,10/31/2025,11/14/2025,
38572,11/3/2025,JC AVIATION SERVICES,3882550-3,A884C,VALVE,OH,,,,NET 30,,,WAITING QUOTE ,11/3/2025,,,,,11/3/2025,11/17/2025,
38573,11/3/2025,JC AVIATION SERVICES,3882500-17,17152,FUEL CONTROL,RP,,,,NET 30,,,WAITING QUOTE ,11/3/2025,,,,,11/3/2025,11/17/2025,
38576,11/4/2025,ILLUMINAIR SUPPORT,3614400-7,1427,TRANSDUCER,RP,,,,NET 30,,,WAITING QUOTE ,11/4/2025,,,,,11/4/2025,11/18/2025,
